,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity
76,2020-09-22 21:08:23+00:00,962,News,nyt://article/43d2e8ca-e622-5929-8611-4063c81c03aa,The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments.,"WASHINGTON — The Department of Justice’s impending lawsuit against Google has narrowed to focus on the company’s power over internet search, a decision that could set off a cascade of separate lawsuits from states in ensuing weeks over the Silicon Valley giant’s dominance in other business segments.",The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments.,Justice Dept. Case Against Google Is Said to Focus on Search Dominance,"The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments. WASHINGTON — The Department of Justice’s impending lawsuit against Google has narrowed to focus on the company’s power over internet search, a decision that could set off a cascade of separate lawsuits from states in ensuing weeks over the Silicon Valley giant’s dominance in other business segments. The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments. Justice Dept. Case Against Google Is Said to Focus on Search Dominance ",1,4,-0.12916666666666668,0.4875
77,2020-10-09 10:00:08+00:00,1056,Op-Ed,nyt://article/43de3692-9eb1-5c0f-8843-5c05e29d7522,Participants at the Athens Democracy Forum sounded the alarm about the power of technology over humans.,"This is an article from World Review: The State of Democracy, a special section that examines global policy and affairs through the perspectives of thought leaders and commentators, and is published in conjunction with the annual Athens Democracy Forum.",Participants at the Athens Democracy Forum sounded the alarm about the power of technology over humans.,Technology vs. Covid-19: Assessing the Threats,"Participants at the Athens Democracy Forum sounded the alarm about the power of technology over humans. This is an article from World Review: The State of Democracy, a special section that examines global policy and affairs through the perspectives of thought leaders and commentators, and is published in conjunction with the annual Athens Democracy Forum. Participants at the Athens Democracy Forum sounded the alarm about the power of technology over humans. Technology vs. Covid-19: Assessing the Threats ",5,0,0.17857142857142858,0.2857142857142857
78,2021-06-22 11:23:27+00:00,1809,News,nyt://article/44670bdc-4c7f-553d-872b-86b3cdf1761f,"They, and other companies that took pandemic rescue money, face new demands in return for their rescues.","American Airlines confirmed yesterday that, amid delays trying to keep up with surging demand, it would cut nearly 1,000 flights in the first half of July. Fewer flights, especially if other airlines follow its lead, would drive up ticket prices and force passengers to delay travel plans, which means less money flowing to travelers’ desired destinations.","They, and other companies that took pandemic rescue money, face new demands in return for their rescues.",Airlines Face a Bailout Backlash,"They, and other companies that took pandemic rescue money, face new demands in return for their rescues. American Airlines confirmed yesterday that, amid delays trying to keep up with surging demand, it would cut nearly 1,000 flights in the first half of July. Fewer flights, especially if other airlines follow its lead, would drive up ticket prices and force passengers to delay travel plans, which means less money flowing to travelers’ desired destinations. They, and other companies that took pandemic rescue money, face new demands in return for their rescues. Airlines Face a Bailout Backlash ",4,0,0.017217630853994494,0.39779614325068874
79,2020-07-08 16:43:31+00:00,1169,News,nyt://article/447f2a8f-6b01-5a7f-94e2-44715be6494e,Why we should all care who controls the invisible infrastructure of the global internet.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,Why we should all care who controls the invisible infrastructure of the global internet.,The Tech Giants’ Invisible Helpers,Why we should all care who controls the invisible infrastructure of the global internet. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Why we should all care who controls the invisible infrastructure of the global internet. The Tech Giants’ Invisible Helpers ,3,0,0.0,0.0
80,2021-08-20 09:00:17+00:00,1667,News,nyt://article/4590e572-8ad8-5977-a7e6-badeb6126b46,"A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings.","PALO ALTO, Calif. — In 2014, Scott Hassan, known by some as the third Google founder, sent Allison Huynh, his wife of 13 years, a text message that their marriage was over and that he was moving out of their home.","A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings.",Who Gets the L.L.C.? Inside a Silicon Valley Billionaire’s Divorce.,"A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings. PALO ALTO, Calif. — In 2014, Scott Hassan, known by some as the third Google founder, sent Allison Huynh, his wife of 13 years, a text message that their marriage was over and that he was moving out of their home. A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings. Who Gets the L.L.C.? Inside a Silicon Valley Billionaire’s Divorce. ",5,3,0.13333333333333333,0.20000000000000004
81,2020-02-22 02:41:31+00:00,370,News,nyt://article/485007f2-434d-5d8c-b035-5c0877387da1,"The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation.",SAN FRANCISCO — Google reached an agreement with a group of state attorneys general on Thursday over how officials will handle information it provides during their antitrust investigation into the company.,"The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation.",Google Reaches Document Protection Deal in Antitrust Fight,"The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation. SAN FRANCISCO — Google reached an agreement with a group of state attorneys general on Thursday over how officials will handle information it provides during their antitrust investigation into the company. The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation. Google Reaches Document Protection Deal in Antitrust Fight ",5,2,0.05000000000000002,0.5
82,2020-05-29 12:01:45+00:00,1323,News,nyt://article/4ac30ba2-fdae-5bef-be5b-10e723d4570e,The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic.,"OAKLAND, Calif. — Google, facing an advertising slump caused by the pandemic, has rescinded offers to several thousand people who had agreed to work at the company as temporary and contract workers.",The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic.,Google Rescinds Offers to Thousands of Contract Workers,"The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic. OAKLAND, Calif. — Google, facing an advertising slump caused by the pandemic, has rescinded offers to several thousand people who had agreed to work at the company as temporary and contract workers. The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic. Google Rescinds Offers to Thousands of Contract Workers ",1,2,0.06666666666666667,0.0
83,2020-03-20 01:25:02+00:00,402,News,nyt://article/4b405189-3352-545a-950a-20f5b7dff406,"Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired.","SAN FRANCISCO — Anthony Levandowski, a star engineer who helped build Google’s autonomous vehicle unit, pleaded guilty on Thursday to stealing trade secrets from the internet giant.","Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired.",Former Uber Executive Pleads Guilty to Trade Theft,"Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired. SAN FRANCISCO — Anthony Levandowski, a star engineer who helped build Google’s autonomous vehicle unit, pleaded guilty on Thursday to stealing trade secrets from the internet giant. Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired. Former Uber Executive Pleads Guilty to Trade Theft ",3,3,-0.08571428571428572,0.5285714285714286
86,2021-04-02 19:02:48+00:00,296,News,nyt://article/5266df05-29de-5f21-b878-ac0e6fc2689a,The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov.,"Waymo, the autonomous car unit of Google’s parent company, Alphabet, said John Krafcik is stepping down as chief executive after five and a half years at the helm.",The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov.,The C.E.O. of the self-driving car company Waymo will step down after more than 5 years.,"The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov. Waymo, the autonomous car unit of Google’s parent company, Alphabet, said John Krafcik is stepping down as chief executive after five and a half years at the helm. The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov. The C.E.O. of the self-driving car company Waymo will step down after more than 5 years. ",3,1,0.06031746031746031,0.39206349206349206
87,2020-01-24 23:09:35+00:00,861,News,nyt://article/52b9f824-38c3-59d1-bf96-374c7dab7f9e,The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas.,"Facing an increasing number of requests for its users’ information, Google began charging law enforcement and other government agencies this month for legal demands seeking data such as emails, location tracking information and search queries.",The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas.,Have a Search Warrant for Data? Google Wants You to Pay,"The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas. Facing an increasing number of requests for its users’ information, Google began charging law enforcement and other government agencies this month for legal demands seeking data such as emails, location tracking information and search queries. The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas. Have a Search Warrant for Data? Google Wants You to Pay ",1,2,0.04583333333333334,0.5291666666666667
88,2021-10-19 09:00:17+00:00,1136,News,nyt://article/53381795-9414-57e6-b737-aa75d370bfd7,An animal rights group said the site had ignored efforts to get clear violations taken down. YouTube said it had removed hundreds of thousands.,"The videos are disturbing. A giant python wraps its thick body around the neck of a puppy, which thrashes and squeals in panic. A baby monkey, trembling and screeching in horror, is poked, prodded and pinched inside a basket. Another monkey is forced to fend off a giant snake slithering toward it while tied to the ground.",An animal rights group said the site had ignored efforts to get clear violations taken down. YouTube said it had removed hundreds of thousands.,"YouTube Sued Over Animal Abuse Videos, Accused of Not Enforcing Ban","An animal rights group said the site had ignored efforts to get clear violations taken down. YouTube said it had removed hundreds of thousands. The videos are disturbing. A giant python wraps its thick body around the neck of a puppy, which thrashes and squeals in panic. A baby monkey, trembling and screeching in horror, is poked, prodded and pinched inside a basket. Another monkey is forced to fend off a giant snake slithering toward it while tied to the ground. An animal rights group said the site had ignored efforts to get clear violations taken down. YouTube said it had removed hundreds of thousands. YouTube Sued Over Animal Abuse Videos, Accused of Not Enforcing Ban ",4,0,-0.11919191919191921,0.4381313131313131
89,2021-07-22 02:02:59+00:00,504,News,nyt://article/53fd539b-a4b4-5a06-97a8-511bc4da2914,"An advocacy group for technology companies criticized the move by the commission, saying it would jeopardize the safety of consumers.","The Federal Trade Commission voted unanimously on Wednesday to push harder for the right of consumers to repair devices like smartphones, home appliances, cars and even farm equipment, arguing that large corporations have cost consumers by making such products harder to fix.","An advocacy group for technology companies criticized the move by the commission, saying it would jeopardize the safety of consumers.",The F.T.C. votes to use its leverage to make it easier for consumers to repair their phones.,"An advocacy group for technology companies criticized the move by the commission, saying it would jeopardize the safety of consumers. The Federal Trade Commission voted unanimously on Wednesday to push harder for the right of consumers to repair devices like smartphones, home appliances, cars and even farm equipment, arguing that large corporations have cost consumers by making such products harder to fix. An advocacy group for technology companies criticized the move by the commission, saying it would jeopardize the safety of consumers. The F.T.C. votes to use its leverage to make it easier for consumers to repair their phones. ",5,0,0.059999999999999984,0.2928571428571428
90,2021-01-06 19:55:09+00:00,903,News,nyt://article/549ceda8-f650-5904-aefb-951f94356414,"Russian hackers may have piggybacked on a tool developed by JetBrains, which is based in the Czech Republic, to gain access to federal government and private sector systems in the United States.","American intelligence agencies and private cybersecurity investigators are examining the role of a widely used software company, JetBrains, in the far-reaching Russian hacking of federal agencies, private corporations and United States infrastructure, according to officials and executives briefed on the inquiry.","Russian hackers may have piggybacked on a tool developed by JetBrains, which is based in the Czech Republic, to gain access to federal government and private sector systems in the United States.",Widely Used Software Company May Be Entry Point for Huge U.S. Hacking,"Russian hackers may have piggybacked on a tool developed by JetBrains, which is based in the Czech Republic, to gain access to federal government and private sector systems in the United States. American intelligence agencies and private cybersecurity investigators are examining the role of a widely used software company, JetBrains, in the far-reaching Russian hacking of federal agencies, private corporations and United States infrastructure, according to officials and executives briefed on the inquiry. Russian hackers may have piggybacked on a tool developed by JetBrains, which is based in the Czech Republic, to gain access to federal government and private sector systems in the United States. Widely Used Software Company May Be Entry Point for Huge U.S. Hacking ",3,0,0.030769230769230774,0.29230769230769227
91,2020-06-18 21:18:36+00:00,714,News,nyt://article/57082372-7944-5414-bd85-56a6da67e017,The court ruled that the new law disproportionately infringed on freedom of speech. It was a blow to the government’s efforts to regulate content on tech platforms.,"PARIS — A top French court on Thursday struck down critical provisions of a law passed by France’s parliament last month to combat online hate speech, dealing a severe blow to the government’s effort to police internet content.",The court ruled that the new law disproportionately infringed on freedom of speech. It was a blow to the government’s efforts to regulate content on tech platforms.,French Court Strikes Down Most of Online Hate Speech Law,"The court ruled that the new law disproportionately infringed on freedom of speech. It was a blow to the government’s efforts to regulate content on tech platforms. PARIS — A top French court on Thursday struck down critical provisions of a law passed by France’s parliament last month to combat online hate speech, dealing a severe blow to the government’s effort to police internet content. The court ruled that the new law disproportionately infringed on freedom of speech. It was a blow to the government’s efforts to regulate content on tech platforms. French Court Strikes Down Most of Online Hate Speech Law ",5,0,-0.05319865319865321,0.4294612794612795
93,2020-06-02 23:03:23+00:00,448,News,nyt://article/5a60b63b-68b8-5706-8ec5-7dc3f3fed660,The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy.,"OAKLAND, Calif. — Google violated federal wiretap laws when it continued to collect information about what users were doing on the internet without their permission even though they were browsing in so-called private browsing mode, according to a potential class-action lawsuit filed against the internet giant on Tuesday.",The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy.,Suit Claims Google’s Tracking Violates Federal Wiretap Law,"The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy. OAKLAND, Calif. — Google violated federal wiretap laws when it continued to collect information about what users were doing on the internet without their permission even though they were browsing in so-called private browsing mode, according to a potential class-action lawsuit filed against the internet giant on Tuesday. The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy. Suit Claims Google’s Tracking Violates Federal Wiretap Law ",5,4,-0.12,0.555
94,2020-02-11 19:38:54+00:00,858,News,nyt://article/5a85a26a-3ea3-52d0-8506-b61f53b5e6b9,"The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions.","WASHINGTON — The Federal Trade Commission said on Tuesday that it had ordered Amazon, Apple, Facebook, Google’s parent company and Microsoft to turn over information about past acquisitions, broadening its review of the power of big tech companies.","The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions.","F.T.C. Broadens Review of Tech Giants, Homing In on Their Deals","The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions. WASHINGTON — The Federal Trade Commission said on Tuesday that it had ordered Amazon, Apple, Facebook, Google’s parent company and Microsoft to turn over information about past acquisitions, broadening its review of the power of big tech companies. The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions. F.T.C. Broadens Review of Tech Giants, Homing In on Their Deals ",4,1,-0.025000000000000005,0.225
95,2021-08-31 13:50:17+00:00,290,News,nyt://article/5ae3d09c-f70d-5576-ae24-f9aa79c17c19,"The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill.","South Korea legislators on Tuesday approved the first law in the world that requires app stores to let users pay for in-app purchases through multiple payment systems, a blow to the market dominance of Apple and Google, which opposed the bill.","The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill.",South Korea forces Google and Apple to allow third-party in-app payments.,"The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill. South Korea legislators on Tuesday approved the first law in the world that requires app stores to let users pay for in-app purchases through multiple payment systems, a blow to the market dominance of Apple and Google, which opposed the bill. The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill. South Korea forces Google and Apple to allow third-party in-app payments. ",5,2,0.325,0.4666666666666666
96,2020-07-13 17:30:23+00:00,1167,News,nyt://article/5b3e2d4d-854b-528e-b81f-b98773dce0b8,There’s a power imbalance between the internet companies and those who make the posts and videos.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,There’s a power imbalance between the internet companies and those who make the posts and videos.,YouTube’s Factory Workers Are Angry,There’s a power imbalance between the internet companies and those who make the posts and videos. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. There’s a power imbalance between the internet companies and those who make the posts and videos. YouTube’s Factory Workers Are Angry ,3,0,-0.5,1.0
97,2020-04-13 16:53:03+00:00,1147,News,nyt://article/5c46d565-562f-5136-9b11-eed886f22b39,How we shop during the pandemic could have big consequences.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,How we shop during the pandemic could have big consequences.,We’re Shopping a Ton Online. Let’s Be Conscientious About It,How we shop during the pandemic could have big consequences. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. How we shop during the pandemic could have big consequences. We’re Shopping a Ton Online. Let’s Be Conscientious About It ,2,0,0.0,0.1
98,2020-07-24 09:00:42+00:00,2942,News,nyt://article/5c77eb6c-1d4f-5ad3-8ac8-8788ec3e00d5,"Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges.","HUNTINGTON BEACH, Calif. — A year ago, antitrust officials from Australia, Brazil, China, Japan and eight other countries enjoyed $110-a-plate steak dinners and unlimited pours from $70 bottles of wine at a beachfront hotel surrounded by panoramic views of the sun setting over the Pacific Ocean.","Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges.",Big Tech Funds a Think Tank Pushing for Fewer Rules. For Big Tech.,"Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges. HUNTINGTON BEACH, Calif. — A year ago, antitrust officials from Australia, Brazil, China, Japan and eight other countries enjoyed $110-a-plate steak dinners and unlimited pours from $70 bottles of wine at a beachfront hotel surrounded by panoramic views of the sun setting over the Pacific Ocean. Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges. Big Tech Funds a Think Tank Pushing for Fewer Rules. For Big Tech. ",3,2,0.09375,0.31875000000000003
100,2020-12-03 01:16:45+00:00,556,News,nyt://article/62089daf-1f3e-5e5f-ac29-952bc0279a97,The workers were involved in labor organizing at the company and participated in walkouts last year.,"A federal agency said on Wednesday that Google had most likely violated labor law when it fired two employees who were involved in labor organizing, a spokesman for the agency said.",The workers were involved in labor organizing at the company and participated in walkouts last year.,Federal Labor Agency Says Google Wrongly Fired 2 Employees,"The workers were involved in labor organizing at the company and participated in walkouts last year. A federal agency said on Wednesday that Google had most likely violated labor law when it fired two employees who were involved in labor organizing, a spokesman for the agency said. The workers were involved in labor organizing at the company and participated in walkouts last year. Federal Labor Agency Says Google Wrongly Fired 2 Employees ",5,2,0.0,0.5066666666666666
101,2021-06-07 11:00:32+00:00,775,News,nyt://article/65464c35-5724-56b8-9a16-56dbc4adc23b,"The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems.",LONDON — Google agreed to pay roughly $270 million in fines and change some of its business practices as part of a settlement announced on Monday with French antitrust regulators who had accused the company of abusing its dominance of the online advertising market.,"The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems.",Google to Pay $270 Million to Settle Antitrust Charges in France,"The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems. LONDON — Google agreed to pay roughly $270 million in fines and change some of its business practices as part of a settlement announced on Monday with French antitrust regulators who had accused the company of abusing its dominance of the online advertising market. The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems. Google to Pay $270 Million to Settle Antitrust Charges in France ",5,2,-0.016666666666666666,0.5333333333333333
102,2021-03-25 19:50:33+00:00,1374,News,nyt://article/65553d3e-3fbc-50bc-bfc5-26d32a603a2e,"The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium.","He had already been banned from Twitter, but on his podcast he could give full voice to his hateful conspiracy theories.","The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium.","On Google Podcasts, a Buffet of Hate","The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium. He had already been banned from Twitter, but on his podcast he could give full voice to his hateful conspiracy theories. The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium. On Google Podcasts, a Buffet of Hate ",2,1,-0.11250000000000002,0.36250000000000004
103,2020-03-16 17:48:52+00:00,995,News,nyt://article/6686944b-4344-59b3-a646-a0889e1da50b,"The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing.",SAN FRANCISCO — A website intended to facilitate nationwide testing for coronavirus that was promoted by President Trump in a news conference on Friday quickly reached capacity when it went live in a small pilot project late on Sunday night.,"The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing.",Coronavirus Testing Website Goes Live and Quickly Hits Capacity,"The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing. SAN FRANCISCO — A website intended to facilitate nationwide testing for coronavirus that was promoted by President Trump in a news conference on Friday quickly reached capacity when it went live in a small pilot project late on Sunday night. The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing. Coronavirus Testing Website Goes Live and Quickly Hits Capacity ",4,2,0.04867424242424242,0.375
104,2020-12-18 17:45:38+00:00,1273,News,nyt://article/6751705e-8a50-57b1-b139-2fc3ef7cf767,"As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work.","This is the last edition of On Tech for 2020. Thank you for reading, please be well and I’ll see you back here on Jan. 4.","As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work.",Big Tech Should Try Radical Candor,"As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work. This is the last edition of On Tech for 2020. Thank you for reading, please be well and I’ll see you back here on Jan. 4. As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work. Big Tech Should Try Radical Candor ",5,2,0.10714285714285714,0.27380952380952384
105,2020-04-08 16:00:10+00:00,423,News,nyt://article/68055668-adad-5f5e-9e06-5347e2b1e74e,"The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic.","Google is removing the $130 entry fee for its Stadia cloud gaming service indefinitely, the company said on Wednesday, making free high-end video games available to just about anyone with a computer during the coronavirus pandemic.","The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic.",Google Makes Stadia Gaming Service Free,"The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic. Google is removing the $130 entry fee for its Stadia cloud gaming service indefinitely, the company said on Wednesday, making free high-end video games available to just about anyone with a computer during the coronavirus pandemic. The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic. Google Makes Stadia Gaming Service Free ",4,2,0.4000000000000001,0.6666666666666666
106,2021-12-16 13:26:48+00:00,1800,News,nyt://article/6a2b45ee-7e46-5ba6-b0fb-89f9751e4d02,Dan Doctoroff reconsiders his priorities.,"We have some difficult news to deliver today. Dan Doctoroff, who runs Alphabet’s Sidewalk Labs and who has been a major force in New York City’s economic development for decades, tells DealBook that he recently learned that he probably has amyotrophic lateral sclerosis, also known as Lou Gehrig’s disease. The progressive neurodegenerative disease usually results in death within three to five years after symptoms appear. His father and uncle died of A.L.S.",Dan Doctoroff reconsiders his priorities.,‘I Want to Try to Enjoy Every Day’,"Dan Doctoroff reconsiders his priorities. We have some difficult news to deliver today. Dan Doctoroff, who runs Alphabet’s Sidewalk Labs and who has been a major force in New York City’s economic development for decades, tells DealBook that he recently learned that he probably has amyotrophic lateral sclerosis, also known as Lou Gehrig’s disease. The progressive neurodegenerative disease usually results in death within three to five years after symptoms appear. His father and uncle died of A.L.S. Dan Doctoroff reconsiders his priorities. ‘I Want to Try to Enjoy Every Day’ ",2,0,0.006980519480519484,0.4506493506493507
108,2020-04-23 18:59:02+00:00,604,News,nyt://article/6eaa503b-3727-5c30-b7a5-7a1c37fb352b,A slew of scams and misleading ads pushed the search giant to expand its verification policy.,"In an effort to fight off fraudulent or misleading online ads, Google will require that all advertisers across its sprawling network prove who they are and where they operate, the company said in a blog post on Thursday.",A slew of scams and misleading ads pushed the search giant to expand its verification policy.,Google Will Require Proof of Identity From All Advertisers,"A slew of scams and misleading ads pushed the search giant to expand its verification policy. In an effort to fight off fraudulent or misleading online ads, Google will require that all advertisers across its sprawling network prove who they are and where they operate, the company said in a blog post on Thursday. A slew of scams and misleading ads pushed the search giant to expand its verification policy. Google Will Require Proof of Identity From All Advertisers ",5,2,0.0,1.0
110,2020-10-14 17:06:58+00:00,1163,News,nyt://article/717fa8e1-92cf-52f6-abe8-1cd690141c0b,"Facing a laptop shortage, some schools have had to jump through hoops to make remote learning work.",This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,"Facing a laptop shortage, some schools have had to jump through hoops to make remote learning work.",Schools Struggle to Secure Computers,"Facing a laptop shortage, some schools have had to jump through hoops to make remote learning work. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Facing a laptop shortage, some schools have had to jump through hoops to make remote learning work. Schools Struggle to Secure Computers ",5,0,0.06666666666666667,0.3333333333333333
111,2020-10-22 11:49:32+00:00,1851,News,nyt://article/7297c7ed-0de7-5eac-ba05-b738d7cb2a9e,The start-up’s demise may not be as bad for investors as it seems.,"This Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome the most consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now.",The start-up’s demise may not be as bad for investors as it seems.,Quibi’s Quick End,"The start-up’s demise may not be as bad for investors as it seems. This Nov. 17 and 18, DealBook opens its doors to our first Online Summit. Join us as we welcome the most consequential newsmakers in business, policy and culture to explore the pivotal questions of the moment — and the future. Watch from anywhere in the world, free of charge. Register now. The start-up’s demise may not be as bad for investors as it seems. Quibi’s Quick End ",2,0,0.15370370370370373,0.587962962962963
112,2020-08-05 00:43:55+00:00,649,News,nyt://article/797ce314-a4e8-502a-93c1-2f1acffe20a6,"Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets.","OAKLAND, Calif. — Anthony Levandowski, a pioneer of self-driving car technology in Silicon Valley, had once been feted by companies such as Google and Uber for his engineering expertise.","Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets.",Star Technologist Who Crossed Google Sentenced to 18 Months in Prison,"Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets. OAKLAND, Calif. — Anthony Levandowski, a pioneer of self-driving car technology in Silicon Valley, had once been feted by companies such as Google and Uber for his engineering expertise. Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets. Star Technologist Who Crossed Google Sentenced to 18 Months in Prison ",5,2,-0.3333333333333333,0.8333333333333334
113,2020-06-24 16:02:25+00:00,416,News,nyt://article/7a2ba52e-8bab-5b60-8e78-83a083a2ff49,The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts.,"OAKLAND, Calif. — After years of criticism about how it keeps a record of what people do online, Google said it would start automatically deleting location history and records of web and app activity as well as voice recordings on new accounts after 18 months.",The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts.,Google Sets Limit on How Long It Will Store Some Data,"The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts. OAKLAND, Calif. — After years of criticism about how it keeps a record of what people do online, Google said it would start automatically deleting location history and records of web and app activity as well as voice recordings on new accounts after 18 months. The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts. Google Sets Limit on How Long It Will Store Some Data ",1,2,0.0659090909090909,0.4963636363636364
115,2021-03-18 11:21:23+00:00,1478,News,nyt://article/7bf213a3-4640-534e-9663-41b6725bcdc2,Penny stocks are back. Critics are worried.,"Of all the trading manias in recent months — Bitcoin, SPACs, meme stocks, nonfungible tokens — the latest has a long history of fraud and scandal. That’s right, penny stocks are booming, according to The Times’s Matt Phillips, who visited the “low-rent district of Wall Street.”",Penny stocks are back. Critics are worried.,A Return to Wall Street’s Low-Rent District,"Penny stocks are back. Critics are worried. Of all the trading manias in recent months — Bitcoin, SPACs, meme stocks, nonfungible tokens — the latest has a long history of fraud and scandal. That’s right, penny stocks are booming, according to The Times’s Matt Phillips, who visited the “low-rent district of Wall Street.” Penny stocks are back. Critics are worried. A Return to Wall Street’s Low-Rent District ",5,0,0.12261904761904763,0.34761904761904755
