,pub_date,word_count,type_of_material,_id,abstract,lead_paragraph,snippet,headline.main,text,relevance_rank,keyword_counts,polarity,subjectivity,finbert-sentiment-score,finbert-bin
64,2021-07-29 09:00:12+00:00,244,Op-Ed,nyt://article/380923c3-086c-5cb2-95fc-c3bdf5e374fe,Sridhar Ramaswamy ran the tech giant’s lucrative ad machine. Now he’s betting on a new business model for search.,"Call it a redemption narrative: After working to grow Google’s lucrative advertising business for 15 years, Sridhar Ramaswamy left the Silicon Valley Goliath to co-found Neeva, a subscription-based search engine that promises not to profit off its customers’ search data. It sounds good in theory; many companies have exploited user data under the guise of their free services. But whether Neeva can get users to care enough about their data to pay for privacy is a whole other story.",Sridhar Ramaswamy ran the tech giant’s lucrative ad machine. Now he’s betting on a new business model for search.,Meet the Man Who Wants You to Give Up Google,"Sridhar Ramaswamy ran the tech giant’s lucrative ad machine. Now he’s betting on a new business model for search. Call it a redemption narrative: After working to grow Google’s lucrative advertising business for 15 years, Sridhar Ramaswamy left the Silicon Valley Goliath to co-found Neeva, a subscription-based search engine that promises not to profit off its customers’ search data. It sounds good in theory; many companies have exploited user data under the guise of their free services. But whether Neeva can get users to care enough about their data to pay for privacy is a whole other story. Sridhar Ramaswamy ran the tech giant’s lucrative ad machine. Now he’s betting on a new business model for search. Meet the Man Who Wants You to Give Up Google ",4,2,0.1789772727272727,0.515340909090909,0.0,0
71,2020-01-31 16:38:59+00:00,1151,News,nyt://article/3d5e6a52-ab1a-514b-8898-5e43b795a4d2,"The internet giant, which some lawmakers and regulators say has grown too powerful, tweaked the way it displayed ads on search results. It did not go over well.","SAN FRANCISCO — A couple of weeks ago, when Dan Shure was searching on Google for information about butchering meats, he did something he had avoided for 20 years: He unknowingly clicked on an ad.","The internet giant, which some lawmakers and regulators say has grown too powerful, tweaked the way it displayed ads on search results. It did not go over well.",Why Google Backtracked on Its New Search Results Look,"The internet giant, which some lawmakers and regulators say has grown too powerful, tweaked the way it displayed ads on search results. It did not go over well. SAN FRANCISCO — A couple of weeks ago, when Dan Shure was searching on Google for information about butchering meats, he did something he had avoided for 20 years: He unknowingly clicked on an ad. The internet giant, which some lawmakers and regulators say has grown too powerful, tweaked the way it displayed ads on search results. It did not go over well. Why Google Backtracked on Its New Search Results Look ",2,2,0.1472727272727272,0.8909090909090909,0.0,0
72,2021-07-01 00:05:28+00:00,276,Letter,nyt://article/3d6cd917-782b-5f9a-aeaa-15e9398657b2,“Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes.,To the Editor:,“Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes.,"From Google, on Its Advertising Tech Business","“Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes. To the Editor: “Our research shows that publishers’ revenue increases when they use our tools — that’s why they choose to use them!” a Google official writes. From Google, on Its Advertising Tech Business ",1,3,0.0,0.0,0.0,0
76,2020-09-22 21:08:23+00:00,962,News,nyt://article/43d2e8ca-e622-5929-8611-4063c81c03aa,The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments.,"WASHINGTON — The Department of Justice’s impending lawsuit against Google has narrowed to focus on the company’s power over internet search, a decision that could set off a cascade of separate lawsuits from states in ensuing weeks over the Silicon Valley giant’s dominance in other business segments.",The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments.,Justice Dept. Case Against Google Is Said to Focus on Search Dominance,"The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments. WASHINGTON — The Department of Justice’s impending lawsuit against Google has narrowed to focus on the company’s power over internet search, a decision that could set off a cascade of separate lawsuits from states in ensuing weeks over the Silicon Valley giant’s dominance in other business segments. The decision to narrow the case to search could set off separate lawsuits from states over Google’s power in other business segments. Justice Dept. Case Against Google Is Said to Focus on Search Dominance ",1,4,-0.1291666666666666,0.4875,-0.6114161610603333,-1
80,2021-08-20 09:00:17+00:00,1667,News,nyt://article/4590e572-8ad8-5977-a7e6-badeb6126b46,"A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings.","PALO ALTO, Calif. — In 2014, Scott Hassan, known by some as the third Google founder, sent Allison Huynh, his wife of 13 years, a text message that their marriage was over and that he was moving out of their home.","A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings.",Who Gets the L.L.C.? Inside a Silicon Valley Billionaire’s Divorce.,"A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings. PALO ALTO, Calif. — In 2014, Scott Hassan, known by some as the third Google founder, sent Allison Huynh, his wife of 13 years, a text message that their marriage was over and that he was moving out of their home. A couple are heading to court to decide who is entitled to a fortune, started in the earliest days of Google, that includes valuable California real estate and stock holdings. Who Gets the L.L.C.? Inside a Silicon Valley Billionaire’s Divorce. ",5,3,0.1333333333333333,0.2,0.0,0
81,2020-02-22 02:41:31+00:00,370,News,nyt://article/485007f2-434d-5d8c-b035-5c0877387da1,"The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation.",SAN FRANCISCO — Google reached an agreement with a group of state attorneys general on Thursday over how officials will handle information it provides during their antitrust investigation into the company.,"The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation.",Google Reaches Document Protection Deal in Antitrust Fight,"The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation. SAN FRANCISCO — Google reached an agreement with a group of state attorneys general on Thursday over how officials will handle information it provides during their antitrust investigation into the company. The company had asked a court for limits on consultants working with the attorney general of Texas, who is leading a multistate investigation. Google Reaches Document Protection Deal in Antitrust Fight ",5,2,0.05,0.5,0.0,0
82,2020-05-29 12:01:45+00:00,1323,News,nyt://article/4ac30ba2-fdae-5bef-be5b-10e723d4570e,The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic.,"OAKLAND, Calif. — Google, facing an advertising slump caused by the pandemic, has rescinded offers to several thousand people who had agreed to work at the company as temporary and contract workers.",The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic.,Google Rescinds Offers to Thousands of Contract Workers,"The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic. OAKLAND, Calif. — Google, facing an advertising slump caused by the pandemic, has rescinded offers to several thousand people who had agreed to work at the company as temporary and contract workers. The company made the cost-cutting move as it navigates a slump in advertising created by the pandemic. Google Rescinds Offers to Thousands of Contract Workers ",1,2,0.0666666666666666,0.0,-0.9340959191322328,-2
83,2020-03-20 01:25:02+00:00,402,News,nyt://article/4b405189-3352-545a-950a-20f5b7dff406,"Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired.","SAN FRANCISCO — Anthony Levandowski, a star engineer who helped build Google’s autonomous vehicle unit, pleaded guilty on Thursday to stealing trade secrets from the internet giant.","Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired.",Former Uber Executive Pleads Guilty to Trade Theft,"Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired. SAN FRANCISCO — Anthony Levandowski, a star engineer who helped build Google’s autonomous vehicle unit, pleaded guilty on Thursday to stealing trade secrets from the internet giant. Anthony Levandowski was charged with stealing driverless-car plans when he left Google to form a company, which Uber then acquired. Former Uber Executive Pleads Guilty to Trade Theft ",3,3,-0.0857142857142857,0.5285714285714286,-0.6527649760246277,-1
86,2021-04-02 19:02:48+00:00,296,News,nyt://article/5266df05-29de-5f21-b878-ac0e6fc2689a,The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov.,"Waymo, the autonomous car unit of Google’s parent company, Alphabet, said John Krafcik is stepping down as chief executive after five and a half years at the helm.",The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov.,The C.E.O. of the self-driving car company Waymo will step down after more than 5 years.,"The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov. Waymo, the autonomous car unit of Google’s parent company, Alphabet, said John Krafcik is stepping down as chief executive after five and a half years at the helm. The chief executive duties will be divided between two current company executives — Tekedra Mawakana and Dmitri Dolgov. The C.E.O. of the self-driving car company Waymo will step down after more than 5 years. ",3,1,0.0603174603174603,0.392063492063492,0.0,0
87,2020-01-24 23:09:35+00:00,861,News,nyt://article/52b9f824-38c3-59d1-bf96-374c7dab7f9e,The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas.,"Facing an increasing number of requests for its users’ information, Google began charging law enforcement and other government agencies this month for legal demands seeking data such as emails, location tracking information and search queries.",The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas.,Have a Search Warrant for Data? Google Wants You to Pay,"The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas. Facing an increasing number of requests for its users’ information, Google began charging law enforcement and other government agencies this month for legal demands seeking data such as emails, location tracking information and search queries. The tech giant has begun charging U.S. law enforcement for responses to search warrants and subpoenas. Have a Search Warrant for Data? Google Wants You to Pay ",1,2,0.0458333333333333,0.5291666666666667,0.0,0
93,2020-06-02 23:03:23+00:00,448,News,nyt://article/5a60b63b-68b8-5706-8ec5-7dc3f3fed660,The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy.,"OAKLAND, Calif. — Google violated federal wiretap laws when it continued to collect information about what users were doing on the internet without their permission even though they were browsing in so-called private browsing mode, according to a potential class-action lawsuit filed against the internet giant on Tuesday.",The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy.,Suit Claims Google’s Tracking Violates Federal Wiretap Law,"The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy. OAKLAND, Calif. — Google violated federal wiretap laws when it continued to collect information about what users were doing on the internet without their permission even though they were browsing in so-called private browsing mode, according to a potential class-action lawsuit filed against the internet giant on Tuesday. The complaint said Google tracked and collected users’ browsing history even if they took steps to maintain their privacy. Suit Claims Google’s Tracking Violates Federal Wiretap Law ",5,4,-0.12,0.555,-0.6916399598121643,-1
94,2020-02-11 19:38:54+00:00,858,News,nyt://article/5a85a26a-3ea3-52d0-8506-b61f53b5e6b9,"The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions.","WASHINGTON — The Federal Trade Commission said on Tuesday that it had ordered Amazon, Apple, Facebook, Google’s parent company and Microsoft to turn over information about past acquisitions, broadening its review of the power of big tech companies.","The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions.","F.T.C. Broadens Review of Tech Giants, Homing In on Their Deals","The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions. WASHINGTON — The Federal Trade Commission said on Tuesday that it had ordered Amazon, Apple, Facebook, Google’s parent company and Microsoft to turn over information about past acquisitions, broadening its review of the power of big tech companies. The agency ordered Amazon, Apple, Facebook, Alphabet and Microsoft to turn over a decade’s worth of information on small acquisitions. F.T.C. Broadens Review of Tech Giants, Homing In on Their Deals ",4,1,-0.025,0.225,0.0,0
95,2021-08-31 13:50:17+00:00,290,News,nyt://article/5ae3d09c-f70d-5576-ae24-f9aa79c17c19,"The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill.","South Korea legislators on Tuesday approved the first law in the world that requires app stores to let users pay for in-app purchases through multiple payment systems, a blow to the market dominance of Apple and Google, which opposed the bill.","The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill.",South Korea forces Google and Apple to allow third-party in-app payments.,"The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill. South Korea legislators on Tuesday approved the first law in the world that requires app stores to let users pay for in-app purchases through multiple payment systems, a blow to the market dominance of Apple and Google, which opposed the bill. The law, the first of its kind in the world, deals a blow to the market dominance of the tech giants, which opposed the bill. South Korea forces Google and Apple to allow third-party in-app payments. ",5,2,0.325,0.4666666666666666,-0.8355079293251038,-1
98,2020-07-24 09:00:42+00:00,2942,News,nyt://article/5c77eb6c-1d4f-5ad3-8ac8-8788ec3e00d5,"Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges.","HUNTINGTON BEACH, Calif. — A year ago, antitrust officials from Australia, Brazil, China, Japan and eight other countries enjoyed $110-a-plate steak dinners and unlimited pours from $70 bottles of wine at a beachfront hotel surrounded by panoramic views of the sun setting over the Pacific Ocean.","Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges.",Big Tech Funds a Think Tank Pushing for Fewer Rules. For Big Tech.,"Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges. HUNTINGTON BEACH, Calif. — A year ago, antitrust officials from Australia, Brazil, China, Japan and eight other countries enjoyed $110-a-plate steak dinners and unlimited pours from $70 bottles of wine at a beachfront hotel surrounded by panoramic views of the sun setting over the Pacific Ocean. Google, Amazon and Qualcomm finance a George Mason University institute teaching a hands-off approach to antitrust regulators and judges. Big Tech Funds a Think Tank Pushing for Fewer Rules. For Big Tech. ",3,2,0.09375,0.31875,0.0,0
100,2020-12-03 01:16:45+00:00,556,News,nyt://article/62089daf-1f3e-5e5f-ac29-952bc0279a97,The workers were involved in labor organizing at the company and participated in walkouts last year.,"A federal agency said on Wednesday that Google had most likely violated labor law when it fired two employees who were involved in labor organizing, a spokesman for the agency said.",The workers were involved in labor organizing at the company and participated in walkouts last year.,Federal Labor Agency Says Google Wrongly Fired 2 Employees,"The workers were involved in labor organizing at the company and participated in walkouts last year. A federal agency said on Wednesday that Google had most likely violated labor law when it fired two employees who were involved in labor organizing, a spokesman for the agency said. The workers were involved in labor organizing at the company and participated in walkouts last year. Federal Labor Agency Says Google Wrongly Fired 2 Employees ",5,2,0.0,0.5066666666666666,-0.9633041024208068,-2
101,2021-06-07 11:00:32+00:00,775,News,nyt://article/65464c35-5724-56b8-9a16-56dbc4adc23b,"The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems.",LONDON — Google agreed to pay roughly $270 million in fines and change some of its business practices as part of a settlement announced on Monday with French antitrust regulators who had accused the company of abusing its dominance of the online advertising market.,"The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems.",Google to Pay $270 Million to Settle Antitrust Charges in France,"The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems. LONDON — Google agreed to pay roughly $270 million in fines and change some of its business practices as part of a settlement announced on Monday with French antitrust regulators who had accused the company of abusing its dominance of the online advertising market. The tech giant, which is facing similar scrutiny in the U.S., also said it would make changes to increase transparency of its online ad systems. Google to Pay $270 Million to Settle Antitrust Charges in France ",5,2,-0.0166666666666666,0.5333333333333333,0.0,0
102,2021-03-25 19:50:33+00:00,1374,News,nyt://article/65553d3e-3fbc-50bc-bfc5-26d32a603a2e,"The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium.","He had already been banned from Twitter, but on his podcast he could give full voice to his hateful conspiracy theories.","The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium.","On Google Podcasts, a Buffet of Hate","The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium. He had already been banned from Twitter, but on his podcast he could give full voice to his hateful conspiracy theories. The platform’s tolerance of white supremacist, pro-Nazi and conspiracy theory content pushes the boundaries of the medium. On Google Podcasts, a Buffet of Hate ",2,1,-0.1125,0.3625,0.0,0
103,2020-03-16 17:48:52+00:00,995,News,nyt://article/6686944b-4344-59b3-a646-a0889e1da50b,"The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing.",SAN FRANCISCO — A website intended to facilitate nationwide testing for coronavirus that was promoted by President Trump in a news conference on Friday quickly reached capacity when it went live in a small pilot project late on Sunday night.,"The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing.",Coronavirus Testing Website Goes Live and Quickly Hits Capacity,"The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing. SAN FRANCISCO — A website intended to facilitate nationwide testing for coronavirus that was promoted by President Trump in a news conference on Friday quickly reached capacity when it went live in a small pilot project late on Sunday night. The site from Google’s sister company, Verily, was rolled out to two Northern California counties in hopes of guiding people to local virus testing. Coronavirus Testing Website Goes Live and Quickly Hits Capacity ",4,2,0.0486742424242424,0.375,0.0,0
104,2020-12-18 17:45:38+00:00,1273,News,nyt://article/6751705e-8a50-57b1-b139-2fc3ef7cf767,"As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work.","This is the last edition of On Tech for 2020. Thank you for reading, please be well and I’ll see you back here on Jan. 4.","As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work.",Big Tech Should Try Radical Candor,"As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work. This is the last edition of On Tech for 2020. Thank you for reading, please be well and I’ll see you back here on Jan. 4. As the power of Google, Apple and other tech giants grows, the companies should do more to explain how they work. Big Tech Should Try Radical Candor ",5,2,0.1071428571428571,0.2738095238095238,0.0,0
105,2020-04-08 16:00:10+00:00,423,News,nyt://article/68055668-adad-5f5e-9e06-5347e2b1e74e,"The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic.","Google is removing the $130 entry fee for its Stadia cloud gaming service indefinitely, the company said on Wednesday, making free high-end video games available to just about anyone with a computer during the coronavirus pandemic.","The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic.",Google Makes Stadia Gaming Service Free,"The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic. Google is removing the $130 entry fee for its Stadia cloud gaming service indefinitely, the company said on Wednesday, making free high-end video games available to just about anyone with a computer during the coronavirus pandemic. The $130 entry fee is being waived indefinitely, as interest in playing video games surges during the coronavirus pandemic. Google Makes Stadia Gaming Service Free ",4,2,0.4000000000000001,0.6666666666666666,-0.8280476331710815,-1
108,2020-04-23 18:59:02+00:00,604,News,nyt://article/6eaa503b-3727-5c30-b7a5-7a1c37fb352b,A slew of scams and misleading ads pushed the search giant to expand its verification policy.,"In an effort to fight off fraudulent or misleading online ads, Google will require that all advertisers across its sprawling network prove who they are and where they operate, the company said in a blog post on Thursday.",A slew of scams and misleading ads pushed the search giant to expand its verification policy.,Google Will Require Proof of Identity From All Advertisers,"A slew of scams and misleading ads pushed the search giant to expand its verification policy. In an effort to fight off fraudulent or misleading online ads, Google will require that all advertisers across its sprawling network prove who they are and where they operate, the company said in a blog post on Thursday. A slew of scams and misleading ads pushed the search giant to expand its verification policy. Google Will Require Proof of Identity From All Advertisers ",5,2,0.0,1.0,0.0,0
112,2020-08-05 00:43:55+00:00,649,News,nyt://article/797ce314-a4e8-502a-93c1-2f1acffe20a6,"Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets.","OAKLAND, Calif. — Anthony Levandowski, a pioneer of self-driving car technology in Silicon Valley, had once been feted by companies such as Google and Uber for his engineering expertise.","Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets.",Star Technologist Who Crossed Google Sentenced to 18 Months in Prison,"Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets. OAKLAND, Calif. — Anthony Levandowski, a pioneer of self-driving car technology in Silicon Valley, had once been feted by companies such as Google and Uber for his engineering expertise. Anthony Levandowski, a onetime star Silicon Valley engineer of self-driving cars, had pleaded guilty to stealing trade secrets. Star Technologist Who Crossed Google Sentenced to 18 Months in Prison ",5,2,-0.3333333333333333,0.8333333333333334,-0.5844892263412476,-1
113,2020-06-24 16:02:25+00:00,416,News,nyt://article/7a2ba52e-8bab-5b60-8e78-83a083a2ff49,The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts.,"OAKLAND, Calif. — After years of criticism about how it keeps a record of what people do online, Google said it would start automatically deleting location history and records of web and app activity as well as voice recordings on new accounts after 18 months.",The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts.,Google Sets Limit on How Long It Will Store Some Data,"The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts. OAKLAND, Calif. — After years of criticism about how it keeps a record of what people do online, Google said it would start automatically deleting location history and records of web and app activity as well as voice recordings on new accounts after 18 months. The internet company has long been criticized about how much information it keeps on users. The change applies only to new accounts. Google Sets Limit on How Long It Will Store Some Data ",1,2,0.0659090909090909,0.4963636363636364,-0.5647647380828857,-1
116,2021-03-17 16:50:55+00:00,1012,News,nyt://article/7cfdf008-9777-5e6d-b104-b450e395c80a,Newly revealed memos show that government investigators saw red flags in Google’s behavior nearly a decade ago.,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,Newly revealed memos show that government investigators saw red flags in Google’s behavior nearly a decade ago.,What the U.S. Missed With Google,Newly revealed memos show that government investigators saw red flags in Google’s behavior nearly a decade ago. This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Newly revealed memos show that government investigators saw red flags in Google’s behavior nearly a decade ago. What the U.S. Missed With Google ,5,3,0.0787878787878787,0.2848484848484848,0.0,0
119,2020-10-20 14:27:13+00:00,647,News,nyt://article/806d6375-b4ce-53b0-8f4e-5273792fb79b,The suit is the first antitrust action against the company to result from investigations by American regulators.,"The Justice Department sued Google on Tuesday, accusing the company of illegally abusing its dominance in internet search in ways that harm competitors and consumers.",The suit is the first antitrust action against the company to result from investigations by American regulators.,What Is Happening With the Antitrust Suit Against Google?,"The suit is the first antitrust action against the company to result from investigations by American regulators. The Justice Department sued Google on Tuesday, accusing the company of illegally abusing its dominance in internet search in ways that harm competitors and consumers. The suit is the first antitrust action against the company to result from investigations by American regulators. What Is Happening With the Antitrust Suit Against Google? ",1,2,0.0285714285714285,0.1952380952380952,-0.8134650588035583,-1
120,2020-08-04 09:00:20+00:00,911,Op-Ed,nyt://article/80d7aa70-1802-5550-b29e-305793902f9d,Theatrics distracted from the real payoff of the congressional hearings: the subpoenaed documents.,"The spectacle of the chief executives of Amazon, Apple, Facebook and Google’s parent testifying before Congress last week made for good TV drama. Yet the theatrics of the showdown distracted from the real payoff of the hearings: the accompanying cache of subpoenaed emails and texts from the past decade and a half. These documents provide compelling evidence — long rumored but seldom established — that the companies, especially Facebook and Amazon, in their rise to dominance did not always play by the rules and apparently violated antitrust laws.",Theatrics distracted from the real payoff of the congressional hearings: the subpoenaed documents.,What Years of Emails and Texts Reveal About Your Friendly Tech Companies,"Theatrics distracted from the real payoff of the congressional hearings: the subpoenaed documents. The spectacle of the chief executives of Amazon, Apple, Facebook and Google’s parent testifying before Congress last week made for good TV drama. Yet the theatrics of the showdown distracted from the real payoff of the hearings: the accompanying cache of subpoenaed emails and texts from the past decade and a half. These documents provide compelling evidence — long rumored but seldom established — that the companies, especially Facebook and Amazon, in their rise to dominance did not always play by the rules and apparently violated antitrust laws. Theatrics distracted from the real payoff of the congressional hearings: the subpoenaed documents. What Years of Emails and Texts Reveal About Your Friendly Tech Companies ",4,1,0.1298611111111111,0.4027777777777777,0.0,0
122,2021-08-13 20:31:13+00:00,484,News,nyt://article/82aa266d-4f1b-5c21-b496-6751676f207e,Sonos is seeking to ban the import of several Google products that are made in China. The preliminary finding will now be reviewed by the full United States International Trade Commission.,"OAKLAND, Calif. — Google infringed on speaker-technology patents held by Sonos and should not be allowed to import products that violate Sonos’s intellectual property, a judge said in a preliminary finding by the United States International Trade Commission that was released on Friday.",Sonos is seeking to ban the import of several Google products that are made in China. The preliminary finding will now be reviewed by the full United States International Trade Commission.,"Google Infringed on Patents Owned by Sonos, a Trade Judge Says","Sonos is seeking to ban the import of several Google products that are made in China. The preliminary finding will now be reviewed by the full United States International Trade Commission. OAKLAND, Calif. — Google infringed on speaker-technology patents held by Sonos and should not be allowed to import products that violate Sonos’s intellectual property, a judge said in a preliminary finding by the United States International Trade Commission that was released on Friday. Sonos is seeking to ban the import of several Google products that are made in China. The preliminary finding will now be reviewed by the full United States International Trade Commission. Google Infringed on Patents Owned by Sonos, a Trade Judge Says ",1,4,0.1249999999999999,0.1875,-0.7947668433189392,-1
124,2020-05-22 17:17:32+00:00,1094,News,nyt://article/83c92622-d67c-5063-9616-fca63b8b25cb,Here’s the one question that matters: Does Google rig the system to squash its rivals and hurt us?,This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.,Here’s the one question that matters: Does Google rig the system to squash its rivals and hurt us?,Why All the Shouting About Google?,Here’s the one question that matters: Does Google rig the system to squash its rivals and hurt us? This article is part of the On Tech newsletter. You can sign up here to receive it weekdays. Here’s the one question that matters: Does Google rig the system to squash its rivals and hurt us? Why All the Shouting About Google? ,3,3,0.0,0.0,0.0,0
125,2021-06-10 09:00:18+00:00,1468,News,nyt://article/84ad6842-f120-5c2a-b311-e573705a065d,"In response to Times articles, the search giant is changing its algorithm, part of a major shift in how Google polices harmful content.","For many years, the vicious cycle has spun: Websites solicit lurid, unverified complaints about supposed cheaters, sexual predators, deadbeats and scammers. People slander their enemies. The anonymous posts appear high in Google results for the names of victims. Then the websites charge the victims thousands of dollars to take the posts down.","In response to Times articles, the search giant is changing its algorithm, part of a major shift in how Google polices harmful content.",Google Seeks to Break Vicious Cycle of Online Slander,"In response to Times articles, the search giant is changing its algorithm, part of a major shift in how Google polices harmful content. For many years, the vicious cycle has spun: Websites solicit lurid, unverified complaints about supposed cheaters, sexual predators, deadbeats and scammers. People slander their enemies. The anonymous posts appear high in Google results for the names of victims. Then the websites charge the victims thousands of dollars to take the posts down. In response to Times articles, the search giant is changing its algorithm, part of a major shift in how Google polices harmful content. Google Seeks to Break Vicious Cycle of Online Slander ",1,4,-0.0870555555555555,0.7162222222222222,0.0,0
126,2020-01-16 21:07:40+00:00,921,News,nyt://article/84c99031-8033-5a07-8f88-8ad03088a828,"The internet search giant became the fourth tech company — after Apple, Amazon and Microsoft — to reach the market milestone.",SAN FRANCISCO — Numbers have long held a special significance at Google.,"The internet search giant became the fourth tech company — after Apple, Amazon and Microsoft — to reach the market milestone.","Google Reaches $1 Trillion in Value, Even as It Faces New Tests","The internet search giant became the fourth tech company — after Apple, Amazon and Microsoft — to reach the market milestone. SAN FRANCISCO — Numbers have long held a special significance at Google. The internet search giant became the fourth tech company — after Apple, Amazon and Microsoft — to reach the market milestone. Google Reaches $1 Trillion in Value, Even as It Faces New Tests ",1,2,0.0633580705009276,0.4894248608534323,0.5150363445281982,1
127,2021-01-22 09:09:54+00:00,1311,News,nyt://article/85ce853c-5017-54e6-b6fb-18f7add4917d,The big tech platforms are facing a challenge unlike any other as Australia moves to make them pay for news.,"SYDNEY, Australia — In a major escalation, Google threatened on Friday to make its search engine unavailable in Australia if the government approved legislation that would force tech companies to pay for journalism shared on their platforms.",The big tech platforms are facing a challenge unlike any other as Australia moves to make them pay for news.,An Australia With No Google? The Bitter Fight Behind a Drastic Threat,"The big tech platforms are facing a challenge unlike any other as Australia moves to make them pay for news. SYDNEY, Australia — In a major escalation, Google threatened on Friday to make its search engine unavailable in Australia if the government approved legislation that would force tech companies to pay for journalism shared on their platforms. The big tech platforms are facing a challenge unlike any other as Australia moves to make them pay for news. An Australia With No Google? The Bitter Fight Behind a Drastic Threat ",2,2,-0.0982142857142857,0.3785714285714285,-0.8568127155303955,-1
